definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
13045,4036,,,1,助词,用在句中停顿的地方或句末，表示愉快地答应或同意
13046,4037,,,1,动词,〈口〉唠叨
13047,4038,,,1,名词,牡蛎
13048,4039,,,1,形容词,某些地区形容撒娇的声音或姿态
13049,4040,,,1,动词,生气；发怒
13050,4040,,,2,动词,责怪；埋怨
13051,4041,,,1,动词,用纸、布或丝织品把字画、古书等衬托粘贴起来，使它美观耐久
13052,4041,,,2,动词,裱糊
13053,4042,,,1,动词,一个压着一个地往上放
13054,4042,,,2,量词,用于重叠放置的东西
13055,4043,,,1,动词,锻
13056,4043,,,2,动词,中药制法，把药材放在火里烧过再用
13057,4044,,,1,动词,打嗝儿
13058,4044,,,2,叹词,表示否定
13059,4045,,,1,名词,非金属元素，符号B。非结晶的硼为粉末状，棕色；结晶的硼为灰色，有光泽。广泛应用于工业、农业和医药等方面
13060,4046,,,1,动词,用手按或压
13061,4047,,,1,名词,村庄（多用于地名）
13062,4048,,,1,动词,【阉割】切除睾丸或卵巢，使生殖机能丧失
13063,4048,,,2,名词,〈文〉被阉割的人；特指宦官
13064,4049,,,1,动词,用杵在石臼或乳钵里捣谷物等，使去皮或破碎
13065,4050,,,1,动词,〈口〉集中（全部力量）
13066,4050,,,2,动词,铆接
13067,4051,,,1,名词,锛子
13068,4051,,,2,动词,用锛子等工具砍削；用镐等挖掘
13069,4051,,,3,动词,〈口〉刀刃出现缺口
13070,4052,,,1,名词,连接肌肉和骨骼的结缔组织，白色，质地坚韧
13071,4053,,,1,动词,用剪刀把东西断开
13072,4053,,,2,动词,用铰刀对工件上的孔进行切削，使孔壁光洁或直径扩大
13073,4053,,,3,名词,指铰链
13074,4054,,,1,动词,盘绕起来打成结
13075,4055,,,1,动词,用手顺着长条状物向一端抹过去（使物体顺溜或干净）
13076,4055,,,2,动词,〈口〉梳理；整理
13077,4056,,,1,动词,用手握住（条状物）向一头滑动
