hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
13036,点子,10671,13622,diǎn zi,1,
13037,阵雨,10673,13623,zhèn yǔ,1,
13038,胆子,10674,13624,dǎn zi,1,
13039,辨认,10675,13625,biàn rèn,1,
13040,降温,10676,13626,jiàng wēn,1,
13041,集市,10677,13627,jí shì,1,
13042,得天独厚,10679,13628,dé tiān dú hòu,1,
13043,毕生,10680,13629,bì shēng,1,
13044,党纪,10682,13630,dǎng jì,1,
13045,平坦,10683,13631,píng tǎn,1,
13046,上阵,10684,13632,shàng zhèn,1,
13047,乙烯,10686,13633,yǐ xī,1,
13048,质检,10688,13634,zhì jiǎn,1,
13049,普遍性,10691,13635,pǔ biàn xìng,1,
13050,聆听,10692,13636,líng tīng,1,
13051,相称,10693,13637,xiāng chèn,1,
13051,相称,10693,13638,xiāng chēng,2,
13052,眨眼,10694,13639,zhǎ yǎn,1,
13053,清单,10695,13640,qīng dān,1,
13054,主治,10696,13641,zhǔ zhì,1,
13055,呼啸,10697,13642,hū xiào,1,
13056,分担,10699,13643,fēn dān,1,
13057,中标,10700,13644,zhòng biāo,1,
13058,意想,10701,13645,yì xiǎng,1,
13059,衣物,10703,13646,yī wù,1,
13060,听证会,10704,13647,tīng zhèng huì,1,
13061,压制,10705,13648,yā zhì,1,
13062,社交,10707,13649,shè jiāo,1,
13063,代号,10708,13650,dài hào,1,
13064,集散,10709,13651,jí sàn,1,
13065,警示,10710,13652,jǐng shì,1,
13066,断然,10712,13653,duàn rán,1,
