pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
51191,掼,guàn,,10004,1
51551,倨,jù,,10005,1
51651,沆,hàng,,10006,1
51841,诳,kuáng,,10007,1
51411,篑,kuì,,10008,1
51151,琰,yǎn,,10009,1
51801,圮,pǐ,,10010,1
51791,禳,ráng,,10011,1
51721,哓,xiāo,,10012,1
51271,圜,huán,,10013,2
51272,圜,yuán,,10013,1
51281,儆,jǐng,,10014,1
51561,莨,liáng,,10015,1
51562,莨,làng,,10015,2
51781,偈,jié,,10016,1
51782,偈,jì,,10016,2
51451,蚰,yóu,,10017,1
51201,僖,xī,,10018,1
51381,鹈,tí,,10019,1
51181,祚,zuò,,10020,1
51221,郯,tán,,10021,1
51111,钫,fāng,,10022,1
51251,鹕,hú,,10023,1
51521,圄,yǔ,,10024,1
51471,胍,guā,,10025,1
51601,欹,yī,,10026,2
